01-01-1970 01:46:49 RAM 2280/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [6%@883,12%@960,15%@960,1%@1036,0%@729,0%@729] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.312C SOC2@48.312C SOC0@48.25C CV1@-256C GPU@48.937C tj@50.312C SOC1@49.437C CV2@-256C VDD_IN 3772mW/3772mW VDD_CPU_GPU_CV 521mW/521mW VDD_SOC 1123mW/1123mW
01-01-1970 01:46:50 RAM 2280/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [12%@729,4%@729,6%@729,3%@729,0%@729,0%@729] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.156C SOC2@48.312C SOC0@48.187C CV1@-256C GPU@48.593C tj@50.156C SOC1@49.375C CV2@-256C VDD_IN 3812mW/3792mW VDD_CPU_GPU_CV 561mW/541mW VDD_SOC 1123mW/1123mW
01-01-1970 01:46:51 RAM 2280/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [8%@1510,16%@729,10%@729,9%@729,0%@729,2%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.187C SOC2@48.375C SOC0@48.25C CV1@-256C GPU@48.875C tj@50.187C SOC1@49.343C CV2@-256C VDD_IN 4253mW/3945mW VDD_CPU_GPU_CV 722mW/601mW VDD_SOC 1284mW/1176mW
01-01-1970 01:46:52 RAM 2280/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@50.187C SOC2@48.312C SOC0@48.187C CV1@-256C GPU@48.718C tj@50.187C SOC1@49.593C CV2@-256C VDD_IN 4133mW/3992mW VDD_CPU_GPU_CV 561mW/591mW VDD_SOC 1364mW/1223mW
01-01-1970 01:46:53 RAM 2399/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [52%@1510,53%@1510,93%@1510,53%@1510,52%@1510,53%@1510] EMC_FREQ 1%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.281C SOC2@48.843C SOC0@48.468C CV1@-256C GPU@48.906C tj@51.281C SOC1@49.562C CV2@-256C VDD_IN 6370mW/4468mW VDD_CPU_GPU_CV 2600mW/993mW VDD_SOC 1402mW/1259mW
01-01-1970 01:46:54 RAM 2453/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [100%@1510,100%@1510,93%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.5C SOC2@49.031C SOC0@48.437C CV1@-256C GPU@49.281C tj@51.343C SOC1@49.531C CV2@-256C VDD_IN 6880mW/4870mW VDD_CPU_GPU_CV 3115mW/1346mW VDD_SOC 1320mW/1269mW
01-01-1970 01:46:55 RAM 2494/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [100%@1510,92%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 0%@115 APE 200 CV0@-256C CPU@51.531C SOC2@49.156C SOC0@48.468C CV1@-256C GPU@49.093C tj@51.531C SOC1@49.843C CV2@-256C VDD_IN 6640mW/5122mW VDD_CPU_GPU_CV 3115mW/1599mW VDD_SOC 1160mW/1253mW
01-01-1970 01:46:56 RAM 2521/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [100%@1510,100%@1510,100%@1510,100%@1510,99%@1510,100%@1510] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.687C SOC2@49.156C SOC0@48.437C CV1@-256C GPU@49.312C tj@51.687C SOC1@49.656C CV2@-256C VDD_IN 6640mW/5312mW VDD_CPU_GPU_CV 3154mW/1793mW VDD_SOC 1160mW/1242mW
01-01-1970 01:46:57 RAM 2529/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [48%@1510,100%@1510,100%@1510,100%@1510,92%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.562C SOC2@49C SOC0@48.5C CV1@-256C GPU@49.218C tj@51.562C SOC1@49.906C CV2@-256C VDD_IN 6249mW/5416mW VDD_CPU_GPU_CV 2920mW/1918mW VDD_SOC 1121mW/1228mW
01-01-1970 01:46:58 RAM 2561/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [27%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 45%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.687C SOC2@49.218C SOC0@48.5C CV1@-256C GPU@49.437C tj@51.687C SOC1@49.812C CV2@-256C VDD_IN 6370mW/5511mW VDD_CPU_GPU_CV 2995mW/2026mW VDD_SOC 1121mW/1217mW
01-01-1970 01:46:59 RAM 2592/7451MB (lfb 150x4MB) SWAP 383/3725MB (cached 1MB) CPU [34%@1510,99%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 16%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.656C SOC2@49.125C SOC0@48.625C CV1@-256C GPU@49.375C tj@51.656C SOC1@49.718C CV2@-256C VDD_IN 6370mW/5589mW VDD_CPU_GPU_CV 2920mW/2107mW VDD_SOC 1161mW/1212mW
