01-01-1970 01:20:57 RAM 2292/7451MB (lfb 125x4MB) SWAP 394/3725MB (cached 0MB) CPU [3%@808,2%@729,8%@729,5%@729,1%@1420,0%@1420] EMC_FREQ 4%@665 GR3D_FREQ 74%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.156C SOC2@49.25C SOC0@49.281C CV1@-256C GPU@49.687C tj@51.156C SOC1@50.312C CV2@-256C VDD_IN 3972mW/3972mW VDD_CPU_GPU_CV 682mW/682mW VDD_SOC 1163mW/1163mW
01-01-1970 01:20:58 RAM 2308/7451MB (lfb 125x4MB) SWAP 394/3725MB (cached 0MB) CPU [15%@1510,14%@1510,43%@1510,12%@1510,8%@729,15%@729] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.375C SOC2@49.218C SOC0@49.281C CV1@-256C GPU@49.625C tj@51.375C SOC1@50.281C CV2@-256C VDD_IN 4213mW/4092mW VDD_CPU_GPU_CV 882mW/782mW VDD_SOC 1123mW/1143mW
01-01-1970 01:20:59 RAM 2364/7451MB (lfb 123x4MB) SWAP 394/3725MB (cached 0MB) CPU [17%@1510,6%@1510,11%@1510,39%@1510,0%@729,0%@729] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.093C SOC2@49.281C SOC0@49.218C CV1@-256C GPU@49.75C tj@51.093C SOC1@50.187C CV2@-256C VDD_IN 4173mW/4119mW VDD_CPU_GPU_CV 802mW/788mW VDD_SOC 1123mW/1136mW
01-01-1970 01:21:00 RAM 2420/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [100%@1510,92%@1510,89%@1510,93%@1510,93%@1510,92%@1510] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.156C SOC2@49.687C SOC0@49.25C CV1@-256C GPU@50.093C tj@52.156C SOC1@50.187C CV2@-256C VDD_IN 6209mW/4641mW VDD_CPU_GPU_CV 2760mW/1281mW VDD_SOC 1121mW/1132mW
01-01-1970 01:21:01 RAM 2438/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [99%@1510,100%@1510,87%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.187C SOC2@49.812C SOC0@49.281C CV1@-256C GPU@49.968C tj@52.187C SOC1@50.375C CV2@-256C VDD_IN 6370mW/4987mW VDD_CPU_GPU_CV 2880mW/1601mW VDD_SOC 1121mW/1130mW
01-01-1970 01:21:02 RAM 2464/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [100%@1510,100%@1510,76%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.406C SOC2@50C SOC0@49.468C CV1@-256C GPU@50C tj@52.406C SOC1@50.5C CV2@-256C VDD_IN 6640mW/5262mW VDD_CPU_GPU_CV 3075mW/1846mW VDD_SOC 1160mW/1135mW
01-01-1970 01:21:03 RAM 2482/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [100%@1510,100%@1510,88%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.343C SOC2@50C SOC0@49.406C CV1@-256C GPU@50.062C tj@52.343C SOC1@50.437C CV2@-256C VDD_IN 6530mW/5443mW VDD_CPU_GPU_CV 3035mW/2016mW VDD_SOC 1121mW/1133mW
01-01-1970 01:21:04 RAM 2496/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [100%@1510,100%@1510,100%@1510,68%@1510,100%@1510,100%@1510] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.593C SOC2@50.062C SOC0@49.5C CV1@-256C GPU@50.312C tj@52.593C SOC1@50.468C CV2@-256C VDD_IN 6490mW/5574mW VDD_CPU_GPU_CV 2955mW/2133mW VDD_SOC 1121mW/1131mW
01-01-1970 01:21:05 RAM 2510/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [85%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.406C SOC2@49.937C SOC0@49.593C CV1@-256C GPU@50.187C tj@52.406C SOC1@50.593C CV2@-256C VDD_IN 6490mW/5676mW VDD_CPU_GPU_CV 2955mW/2225mW VDD_SOC 1161mW/1134mW
01-01-1970 01:21:06 RAM 2523/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [85%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.468C SOC2@50C SOC0@49.437C CV1@-256C GPU@50.312C tj@52.468C SOC1@50.593C CV2@-256C VDD_IN 6410mW/5749mW VDD_CPU_GPU_CV 2955mW/2298mW VDD_SOC 1121mW/1133mW
01-01-1970 01:21:07 RAM 2528/7451MB (lfb 122x4MB) SWAP 394/3725MB (cached 0MB) CPU [92%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.343C SOC2@50C SOC0@49.656C CV1@-256C GPU@50.531C tj@52.343C SOC1@50.687C CV2@-256C VDD_IN 6410mW/5809mW VDD_CPU_GPU_CV 2955mW/2357mW VDD_SOC 1121mW/1132mW
