01-01-1970 01:32:56 RAM 2286/7451MB (lfb 125x4MB) SWAP 391/3725MB (cached 1MB) CPU [9%@1510,5%@1113,20%@1113,7%@1113,9%@729,8%@729] EMC_FREQ 5%@665 GR3D_FREQ 27%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.687C SOC0@51.687C CV1@-256C GPU@52.375C tj@53.5C SOC1@52.437C CV2@-256C VDD_IN 4213mW/4213mW VDD_CPU_GPU_CV 882mW/882mW VDD_SOC 1163mW/1163mW
01-01-1970 01:32:57 RAM 2378/7451MB (lfb 125x4MB) SWAP 391/3725MB (cached 1MB) CPU [32%@1510,33%@1510,33%@1510,78%@1510,32%@1510,31%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.25C SOC2@52.062C SOC0@51.687C CV1@-256C GPU@52.25C tj@54.25C SOC1@52.437C CV2@-256C VDD_IN 5408mW/4810mW VDD_CPU_GPU_CV 2040mW/1461mW VDD_SOC 1161mW/1162mW
01-01-1970 01:32:58 RAM 2446/7451MB (lfb 125x4MB) SWAP 391/3725MB (cached 1MB) CPU [100%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 3%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.625C SOC2@52.312C SOC0@51.718C CV1@-256C GPU@52.656C tj@54.625C SOC1@52.5C CV2@-256C VDD_IN 6600mW/5407mW VDD_CPU_GPU_CV 3154mW/2025mW VDD_SOC 1160mW/1161mW
01-01-1970 01:32:59 RAM 2481/7451MB (lfb 125x4MB) SWAP 391/3725MB (cached 1MB) CPU [100%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.531C SOC2@52.5C SOC0@51.781C CV1@-256C GPU@52.625C tj@54.531C SOC1@52.625C CV2@-256C VDD_IN 6680mW/5725mW VDD_CPU_GPU_CV 3234mW/2327mW VDD_SOC 1160mW/1161mW
01-01-1970 01:33:00 RAM 2521/7451MB (lfb 125x4MB) SWAP 391/3725MB (cached 1MB) CPU [100%@1510,100%@1510,100%@1510,99%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.5C SOC2@52.437C SOC0@51.687C CV1@-256C GPU@52.531C tj@54.5C SOC1@52.562C CV2@-256C VDD_IN 6720mW/5924mW VDD_CPU_GPU_CV 3274mW/2516mW VDD_SOC 1160mW/1160mW
01-01-1970 01:33:01 RAM 2530/7451MB (lfb 125x4MB) SWAP 391/3725MB (cached 1MB) CPU [100%@1510,100%@1510,100%@1510,98%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.437C SOC2@52.437C SOC0@51.875C CV1@-256C GPU@52.656C tj@54.437C SOC1@52.625C CV2@-256C VDD_IN 6520mW/6023mW VDD_CPU_GPU_CV 3075mW/2609mW VDD_SOC 1160mW/1160mW
01-01-1970 01:33:02 RAM 2523/7451MB (lfb 125x4MB) SWAP 391/3725MB (cached 1MB) CPU [100%@1510,100%@1510,100%@1510,7%@1510,100%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.312C SOC2@52.531C SOC0@51.812C CV1@-256C GPU@52.625C tj@54.375C SOC1@52.625C CV2@-256C VDD_IN 6249mW/6055mW VDD_CPU_GPU_CV 2875mW/2647mW VDD_SOC 1121mW/1155mW
01-01-1970 01:33:03 RAM 2567/7451MB (lfb 124x4MB) SWAP 391/3725MB (cached 1MB) CPU [100%@1510,100%@1510,100%@1510,55%@1510,98%@1510,65%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.406C SOC2@52.437C SOC0@51.906C CV1@-256C GPU@52.406C tj@54.406C SOC1@52.625C CV2@-256C VDD_IN 6330mW/6090mW VDD_CPU_GPU_CV 2915mW/2681mW VDD_SOC 1161mW/1155mW
01-01-1970 01:33:04 RAM 2661/7451MB (lfb 116x4MB) SWAP 391/3725MB (cached 1MB) CPU [86%@1510,100%@1510,100%@1510,100%@1510,100%@1510,84%@1510] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.468C SOC2@52.406C SOC0@51.843C CV1@-256C GPU@52.593C tj@54.468C SOC1@52.625C CV2@-256C VDD_IN 6680mW/6155mW VDD_CPU_GPU_CV 3154mW/2733mW VDD_SOC 1200mW/1160mW
01-01-1970 01:33:05 RAM 2780/7451MB (lfb 115x4MB) SWAP 391/3725MB (cached 1MB) CPU [65%@1510,100%@1510,100%@1510,100%@1510,98%@1510,100%@1510] EMC_FREQ 12%@665 GR3D_FREQ 47%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.687C SOC2@52.468C SOC0@51.906C CV1@-256C GPU@52.5C tj@54.5C SOC1@52.625C CV2@-256C VDD_IN 6800mW/6220mW VDD_CPU_GPU_CV 3115mW/2771mW VDD_SOC 1240mW/1168mW
01-01-1970 01:33:06 RAM 3087/7451MB (lfb 115x4MB) SWAP 391/3725MB (cached 1MB) CPU [37%@729,23%@729,24%@729,23%@729,94%@1510,26%@1510] EMC_FREQ 16%@665 GR3D_FREQ 10%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@51.968C SOC0@51.875C CV1@-256C GPU@52.375C tj@53.718C SOC1@52.5C CV2@-256C VDD_IN 5216mW/6128mW VDD_CPU_GPU_CV 1522mW/2658mW VDD_SOC 1243mW/1175mW
01-01-1970 01:33:07 RAM 3305/7451MB (lfb 115x4MB) SWAP 391/3725MB (cached 1MB) CPU [33%@729,7%@729,6%@1163,5%@1510,90%@1510,6%@1510] EMC_FREQ 16%@665 GR3D_FREQ 31%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.906C SOC0@51.875C CV1@-256C GPU@52.5C tj@53.5C SOC1@52.468C CV2@-256C VDD_IN 4895mW/6025mW VDD_CPU_GPU_CV 1282mW/2543mW VDD_SOC 1243mW/1181mW
01-01-1970 01:33:08 RAM 3495/7451MB (lfb 88x4MB) SWAP 391/3725MB (cached 1MB) CPU [20%@868,10%@729,5%@729,6%@729,13%@1510,45%@1510] EMC_FREQ 15%@665 GR3D_FREQ 54%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.718C SOC0@51.75C CV1@-256C GPU@52.156C tj@53.406C SOC1@52.312C CV2@-256C VDD_IN 4654mW/5920mW VDD_CPU_GPU_CV 922mW/2418mW VDD_SOC 1243mW/1185mW
01-01-1970 01:33:09 RAM 3888/7451MB (lfb 43x4MB) SWAP 391/3725MB (cached 1MB) CPU [21%@857,3%@729,8%@729,4%@729,43%@1510,51%@1510] EMC_FREQ 17%@665 GR3D_FREQ 44%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.75C SOC0@51.75C CV1@-256C GPU@52C tj@53.406C SOC1@52.468C CV2@-256C VDD_IN 4895mW/5847mW VDD_CPU_GPU_CV 1201mW/2331mW VDD_SOC 1284mW/1192mW
01-01-1970 01:33:10 RAM 4371/7451MB (lfb 102x1MB) SWAP 391/3725MB (cached 1MB) CPU [24%@729,10%@729,8%@729,5%@729,0%@1510,79%@1510] EMC_FREQ 18%@665 GR3D_FREQ 48%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.75C SOC0@51.656C CV1@-256C GPU@52.062C tj@53.406C SOC1@52.281C CV2@-256C VDD_IN 4855mW/5781mW VDD_CPU_GPU_CV 1201mW/2256mW VDD_SOC 1243mW/1196mW
01-01-1970 01:33:11 RAM 4783/7451MB (lfb 38x1MB) SWAP 391/3725MB (cached 1MB) CPU [18%@729,7%@1510,10%@1510,6%@1510,2%@1510,65%@1510] EMC_FREQ 6%@2133 GR3D_FREQ 33%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.656C SOC0@51.625C CV1@-256C GPU@52.312C tj@53.5C SOC1@52.312C CV2@-256C VDD_IN 5417mW/5758mW VDD_CPU_GPU_CV 1402mW/2203mW VDD_SOC 1484mW/1214mW
01-01-1970 01:33:12 RAM 5009/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [18%@1510,7%@729,15%@729,3%@729,56%@1510,24%@1510] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.562C SOC2@51.75C SOC0@51.531C CV1@-256C GPU@52.218C tj@53.562C SOC1@52.343C CV2@-256C VDD_IN 5689mW/5754mW VDD_CPU_GPU_CV 1560mW/2165mW VDD_SOC 1522mW/1232mW
01-01-1970 01:33:13 RAM 5065/7451MB (lfb 2x2MB) SWAP 391/3725MB (cached 1MB) CPU [28%@729,9%@729,12%@806,8%@806,51%@729,17%@729] EMC_FREQ 13%@2133 GR3D_FREQ 91%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.468C SOC2@51.906C SOC0@51.593C CV1@-256C GPU@52.687C tj@53.312C SOC1@52.312C CV2@-256C VDD_IN 7080mW/5827mW VDD_CPU_GPU_CV 2236mW/2169mW VDD_SOC 1840mW/1266mW
01-01-1970 01:33:14 RAM 5066/7451MB (lfb 2x2MB) SWAP 391/3725MB (cached 1MB) CPU [36%@729,14%@729,14%@729,10%@1003,26%@883,27%@883] EMC_FREQ 18%@2133 GR3D_FREQ 98%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.75C SOC2@51.937C SOC0@51.656C CV1@-256C GPU@53.031C tj@53.75C SOC1@52.281C CV2@-256C VDD_IN 7240mW/5902mW VDD_CPU_GPU_CV 2316mW/2176mW VDD_SOC 1880mW/1298mW
01-01-1970 01:33:16 RAM 5067/7451MB (lfb 2x2MB) SWAP 391/3725MB (cached 1MB) CPU [31%@1070,18%@806,13%@806,10%@806,26%@729,24%@729] EMC_FREQ 19%@2133 GR3D_FREQ 71%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.968C SOC0@51.656C CV1@-256C GPU@52.875C tj@53.5C SOC1@52.25C CV2@-256C VDD_IN 7040mW/5959mW VDD_CPU_GPU_CV 2196mW/2177mW VDD_SOC 1840mW/1325mW
01-01-1970 01:33:17 RAM 5068/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [30%@729,12%@806,17%@806,13%@806,31%@729,26%@729] EMC_FREQ 20%@2133 GR3D_FREQ 57%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@51.968C SOC0@51.656C CV1@-256C GPU@52.781C tj@53.718C SOC1@52.312C CV2@-256C VDD_IN 7160mW/6016mW VDD_CPU_GPU_CV 2276mW/2182mW VDD_SOC 1880mW/1351mW
01-01-1970 01:33:18 RAM 5069/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [30%@1507,13%@1158,28%@729,9%@729,25%@883,28%@729] EMC_FREQ 21%@2133 GR3D_FREQ 31%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.593C SOC2@52C SOC0@51.687C CV1@-256C GPU@52.718C tj@53.593C SOC1@52.312C CV2@-256C VDD_IN 7240mW/6071mW VDD_CPU_GPU_CV 2356mW/2190mW VDD_SOC 1880mW/1375mW
01-01-1970 01:33:19 RAM 5069/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [32%@1504,13%@729,18%@729,11%@729,22%@729,30%@729] EMC_FREQ 21%@2133 GR3D_FREQ 45%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.718C SOC2@52.062C SOC0@51.75C CV1@-256C GPU@53.125C tj@53.718C SOC1@52.281C CV2@-256C VDD_IN 7320mW/6126mW VDD_CPU_GPU_CV 2356mW/2197mW VDD_SOC 1880mW/1397mW
01-01-1970 01:33:20 RAM 5069/7451MB (lfb 1x2MB) SWAP 391/3725MB (cached 1MB) CPU [28%@1113,23%@960,20%@960,19%@960,18%@729,17%@729] EMC_FREQ 22%@2133 GR3D_FREQ 34%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.625C SOC2@51.968C SOC0@51.75C CV1@-256C GPU@52.718C tj@53.625C SOC1@52.312C CV2@-256C VDD_IN 7240mW/6172mW VDD_CPU_GPU_CV 2316mW/2202mW VDD_SOC 1880mW/1417mW
