01-01-1970 02:26:38 RAM 2389/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [16%@960,25%@959,13%@729,10%@729,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.031C SOC2@50.375C SOC0@50.406C CV1@-256C GPU@50.75C tj@52.25C SOC1@51.281C CV2@-256C VDD_IN 3812mW/3812mW VDD_CPU_GPU_CV 521mW/521mW VDD_SOC 1123mW/1123mW
01-01-1970 02:26:39 RAM 2455/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [11%@960,90%@960,12%@960,12%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.343C SOC2@50.468C SOC0@50.281C CV1@-256C GPU@50.656C tj@52.343C SOC1@51.25C CV2@-256C VDD_IN 3892mW/3852mW VDD_CPU_GPU_CV 642mW/581mW VDD_SOC 1123mW/1123mW
01-01-1970 02:26:40 RAM 2517/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.406C SOC2@50.718C SOC0@50.5C CV1@-256C GPU@51.156C tj@52.406C SOC1@51.343C CV2@-256C VDD_IN 4614mW/4106mW VDD_CPU_GPU_CV 1322mW/828mW VDD_SOC 1123mW/1123mW
01-01-1970 02:26:41 RAM 2547/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [100%@960,99%@960,100%@960,100%@960,off,off] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.375C SOC2@50.625C SOC0@50.437C CV1@-256C GPU@51.156C tj@52.375C SOC1@51.281C CV2@-256C VDD_IN 4694mW/4253mW VDD_CPU_GPU_CV 1362mW/961mW VDD_SOC 1123mW/1123mW
01-01-1970 02:26:42 RAM 2571/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [100%@960,99%@960,100%@960,100%@960,off,off] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.375C SOC2@50.593C SOC0@50.437C CV1@-256C GPU@50.75C tj@52.375C SOC1@51.312C CV2@-256C VDD_IN 4694mW/4341mW VDD_CPU_GPU_CV 1362mW/1041mW VDD_SOC 1123mW/1123mW
01-01-1970 02:26:43 RAM 2604/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,98%@960,off,off] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.5C SOC2@50.593C SOC0@50.312C CV1@-256C GPU@50.843C tj@52.5C SOC1@51.281C CV2@-256C VDD_IN 4694mW/4400mW VDD_CPU_GPU_CV 1322mW/1088mW VDD_SOC 1163mW/1129mW
01-01-1970 02:26:44 RAM 2616/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,99%@960,off,off] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.593C SOC2@50.437C SOC0@50.343C CV1@-256C GPU@50.718C tj@52.593C SOC1@51.312C CV2@-256C VDD_IN 4614mW/4430mW VDD_CPU_GPU_CV 1243mW/1110mW VDD_SOC 1123mW/1128mW
01-01-1970 02:26:45 RAM 2630/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,98%@960,off,off] EMC_FREQ 6%@665 GR3D_FREQ 23%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.437C SOC2@50.562C SOC0@50.312C CV1@-256C GPU@50.906C tj@52.281C SOC1@51.218C CV2@-256C VDD_IN 4694mW/4463mW VDD_CPU_GPU_CV 1322mW/1137mW VDD_SOC 1163mW/1133mW
01-01-1970 02:26:46 RAM 2631/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [31%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.468C SOC2@50.375C SOC0@50.218C CV1@-256C GPU@50.625C tj@52.468C SOC1@51.156C CV2@-256C VDD_IN 4414mW/4458mW VDD_CPU_GPU_CV 1163mW/1139mW VDD_SOC 1123mW/1131mW
01-01-1970 02:26:47 RAM 2669/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [50%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.312C SOC2@50.437C SOC0@50.218C CV1@-256C GPU@50.593C tj@52.312C SOC1@51.312C CV2@-256C VDD_IN 4574mW/4469mW VDD_CPU_GPU_CV 1243mW/1150mW VDD_SOC 1123mW/1131mW
01-01-1970 02:26:48 RAM 2736/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [30%@960,37%@960,36%@960,48%@960,off,off] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.093C SOC2@50.281C SOC0@50.218C CV1@-256C GPU@50.562C tj@52.093C SOC1@51.093C CV2@-256C VDD_IN 4139mW/4439mW VDD_CPU_GPU_CV 722mW/1111mW VDD_SOC 1205mW/1137mW
01-01-1970 02:26:49 RAM 2819/7451MB (lfb 248x4MB) SWAP 1/3725MB (cached 0MB) CPU [26%@960,21%@960,19%@960,55%@960,off,off] EMC_FREQ 11%@665 GR3D_FREQ 4%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.156C SOC2@50.281C SOC0@50.25C CV1@-256C GPU@50.812C tj@52.156C SOC1@51.187C CV2@-256C VDD_IN 4260mW/4424mW VDD_CPU_GPU_CV 722mW/1078mW VDD_SOC 1245mW/1146mW
01-01-1970 02:26:50 RAM 3080/7451MB (lfb 238x4MB) SWAP 1/3725MB (cached 0MB) CPU [34%@960,39%@960,26%@960,58%@960,off,off] EMC_FREQ 14%@665 GR3D_FREQ 15%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.031C SOC2@50.281C SOC0@50.187C CV1@-256C GPU@50.75C tj@52.031C SOC1@51.156C CV2@-256C VDD_IN 4421mW/4424mW VDD_CPU_GPU_CV 762mW/1054mW VDD_SOC 1245mW/1154mW
01-01-1970 02:26:51 RAM 3287/7451MB (lfb 210x4MB) SWAP 1/3725MB (cached 0MB) CPU [77%@960,19%@960,24%@960,12%@960,off,off] EMC_FREQ 15%@665 GR3D_FREQ 9%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.906C SOC2@50.25C SOC0@50.25C CV1@-256C GPU@50.437C tj@51.906C SOC1@51.156C CV2@-256C VDD_IN 4340mW/4418mW VDD_CPU_GPU_CV 762mW/1033mW VDD_SOC 1245mW/1160mW
01-01-1970 02:26:52 RAM 3520/7451MB (lfb 177x4MB) SWAP 1/3725MB (cached 0MB) CPU [23%@960,13%@960,37%@960,72%@960,off,off] EMC_FREQ 15%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.281C SOC2@50.187C SOC0@50.187C CV1@-256C GPU@50.656C tj@52.281C SOC1@51.031C CV2@-256C VDD_IN 4340mW/4413mW VDD_CPU_GPU_CV 762mW/1015mW VDD_SOC 1245mW/1166mW
01-01-1970 02:26:53 RAM 3632/7451MB (lfb 176x4MB) SWAP 1/3725MB (cached 0MB) CPU [27%@960,23%@960,46%@960,38%@960,off,off] EMC_FREQ 15%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.906C SOC2@50.218C SOC0@50.125C CV1@-256C GPU@50.593C tj@51.906C SOC1@51C CV2@-256C VDD_IN 4340mW/4408mW VDD_CPU_GPU_CV 722mW/997mW VDD_SOC 1245mW/1171mW
01-01-1970 02:26:54 RAM 3926/7451MB (lfb 128x4MB) SWAP 1/3725MB (cached 0MB) CPU [27%@960,20%@960,29%@960,61%@960,off,off] EMC_FREQ 16%@665 GR3D_FREQ 19%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.125C SOC2@50.125C SOC0@50.093C CV1@-256C GPU@50.375C tj@52.125C SOC1@51C CV2@-256C VDD_IN 4380mW/4406mW VDD_CPU_GPU_CV 762mW/983mW VDD_SOC 1245mW/1175mW
01-01-1970 02:26:55 RAM 4283/7451MB (lfb 128x4MB) SWAP 1/3725MB (cached 0MB) CPU [36%@960,15%@960,39%@960,43%@960,off,off] EMC_FREQ 17%@665 GR3D_FREQ 4%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.062C SOC2@50.093C SOC0@50.031C CV1@-256C GPU@50.468C tj@52.062C SOC1@50.937C CV2@-256C VDD_IN 4380mW/4405mW VDD_CPU_GPU_CV 762mW/971mW VDD_SOC 1245mW/1179mW
01-01-1970 02:26:56 RAM 4605/7451MB (lfb 123x4MB) SWAP 1/3725MB (cached 0MB) CPU [46%@960,22%@960,29%@960,36%@960,off,off] EMC_FREQ 5%@2133 GR3D_FREQ 33%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.937C SOC2@50.25C SOC0@50.093C CV1@-256C GPU@50.531C tj@51.937C SOC1@50.906C CV2@-256C VDD_IN 4694mW/4420mW VDD_CPU_GPU_CV 842mW/964mW VDD_SOC 1404mW/1191mW
01-01-1970 02:26:57 RAM 4945/7451MB (lfb 50x4MB) SWAP 1/3725MB (cached 0MB) CPU [26%@960,26%@960,34%@960,17%@960,off,off] EMC_FREQ 5%@2133 GR3D_FREQ 15%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@51.843C SOC2@50.25C SOC0@50.156C CV1@-256C GPU@50.531C tj@51.843C SOC1@51.031C CV2@-256C VDD_IN 4815mW/4440mW VDD_CPU_GPU_CV 842mW/958mW VDD_SOC 1484mW/1205mW
