05-28-2024 14:08:39 RAM 2378/7451MB (lfb 320x4MB) SWAP 0/3725MB (cached 0MB) CPU [1%@729,10%@729,0%@729,2%@729,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@52.968C SOC2@51.718C SOC0@51.843C CV1@-256C GPU@52.062C tj@52.968C SOC1@52.437C CV2@-256C VDD_IN 3571mW/3571mW VDD_CPU_GPU_CV 361mW/361mW VDD_SOC 1123mW/1123mW
05-28-2024 14:08:40 RAM 2461/7451MB (lfb 320x4MB) SWAP 0/3725MB (cached 0MB) CPU [33%@960,36%@960,44%@960,36%@960,off,off] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 0%@115 APE 200 CV0@-256C CPU@53.562C SOC2@51.875C SOC0@51.875C CV1@-256C GPU@52.062C tj@53.562C SOC1@52.437C CV2@-256C VDD_IN 4173mW/3872mW VDD_CPU_GPU_CV 842mW/601mW VDD_SOC 1163mW/1143mW
05-28-2024 14:08:41 RAM 2463/7451MB (lfb 320x4MB) SWAP 0/3725MB (cached 0MB) CPU [100%@960,100%@960,20%@960,100%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.968C SOC0@51.843C CV1@-256C GPU@52.343C tj@53.5C SOC1@52.406C CV2@-256C VDD_IN 4373mW/4039mW VDD_CPU_GPU_CV 1123mW/775mW VDD_SOC 1123mW/1136mW
05-28-2024 14:08:42 RAM 2508/7451MB (lfb 320x4MB) SWAP 0/3725MB (cached 0MB) CPU [100%@960,100%@960,36%@960,100%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.437C SOC2@51.843C SOC0@51.812C CV1@-256C GPU@52.093C tj@53.437C SOC1@52.343C CV2@-256C VDD_IN 4494mW/4152mW VDD_CPU_GPU_CV 1203mW/882mW VDD_SOC 1123mW/1133mW
05-28-2024 14:08:43 RAM 2576/7451MB (lfb 320x4MB) SWAP 0/3725MB (cached 0MB) CPU [100%@960,100%@960,60%@960,100%@960,off,off] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.843C SOC0@51.75C CV1@-256C GPU@52.062C tj@53.5C SOC1@52.375C CV2@-256C VDD_IN 4694mW/4261mW VDD_CPU_GPU_CV 1284mW/962mW VDD_SOC 1203mW/1147mW
05-28-2024 14:08:44 RAM 2585/7451MB (lfb 320x4MB) SWAP 0/3725MB (cached 0MB) CPU [72%@960,97%@960,100%@960,96%@960,off,off] EMC_FREQ 9%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.437C SOC2@51.843C SOC0@51.656C CV1@-256C GPU@52.187C tj@53.437C SOC1@52.312C CV2@-256C VDD_IN 4694mW/4333mW VDD_CPU_GPU_CV 1203mW/1002mW VDD_SOC 1203mW/1156mW
05-28-2024 14:08:45 RAM 2723/7451MB (lfb 320x4MB) SWAP 0/3725MB (cached 0MB) CPU [85%@960,94%@960,100%@960,100%@960,off,off] EMC_FREQ 12%@665 GR3D_FREQ 16%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.468C SOC2@51.875C SOC0@51.718C CV1@-256C GPU@51.937C tj@53.468C SOC1@52.25C CV2@-256C VDD_IN 4895mW/4413mW VDD_CPU_GPU_CV 1322mW/1048mW VDD_SOC 1203mW/1163mW
05-28-2024 14:08:46 RAM 2897/7451MB (lfb 320x4MB) SWAP 0/3725MB (cached 0MB) CPU [96%@960,97%@960,99%@960,100%@960,off,off] EMC_FREQ 13%@665 GR3D_FREQ 14%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.437C SOC2@51.968C SOC0@51.687C CV1@-256C GPU@52.468C tj@53.437C SOC1@52.312C CV2@-256C VDD_IN 4895mW/4473mW VDD_CPU_GPU_CV 1322mW/1082mW VDD_SOC 1203mW/1168mW
05-28-2024 14:08:48 RAM 3205/7451MB (lfb 306x4MB) SWAP 0/3725MB (cached 0MB) CPU [81%@960,100%@960,93%@960,100%@960,off,off] EMC_FREQ 15%@665 GR3D_FREQ 19%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.781C SOC0@51.656C CV1@-256C GPU@52.125C tj@53.5C SOC1@52.25C CV2@-256C VDD_IN 4935mW/4524mW VDD_CPU_GPU_CV 1322mW/1109mW VDD_SOC 1243mW/1176mW
05-28-2024 14:08:49 RAM 3475/7451MB (lfb 270x4MB) SWAP 0/3725MB (cached 0MB) CPU [87%@960,100%@960,93%@960,100%@960,off,off] EMC_FREQ 15%@665 GR3D_FREQ 20%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.531C SOC2@51.812C SOC0@51.687C CV1@-256C GPU@52.218C tj@53.531C SOC1@52.25C CV2@-256C VDD_IN 4895mW/4561mW VDD_CPU_GPU_CV 1322mW/1130mW VDD_SOC 1243mW/1183mW
05-28-2024 14:08:50 RAM 3827/7451MB (lfb 230x4MB) SWAP 0/3725MB (cached 0MB) CPU [39%@960,46%@960,44%@960,63%@960,off,off] EMC_FREQ 15%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.562C SOC0@51.656C CV1@-256C GPU@51.906C tj@53.125C SOC1@52.187C CV2@-256C VDD_IN 4380mW/4545mW VDD_CPU_GPU_CV 802mW/1100mW VDD_SOC 1245mW/1188mW
05-28-2024 14:08:51 RAM 4120/7451MB (lfb 208x4MB) SWAP 0/3725MB (cached 0MB) CPU [43%@960,26%@960,32%@960,37%@960,off,off] EMC_FREQ 5%@2133 GR3D_FREQ 48%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.687C SOC0@51.593C CV1@-256C GPU@52C tj@53.125C SOC1@52.25C CV2@-256C VDD_IN 4815mW/4567mW VDD_CPU_GPU_CV 842mW/1079mW VDD_SOC 1484mW/1213mW
05-28-2024 14:08:52 RAM 4411/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [31%@960,43%@729,30%@729,36%@729,off,off] EMC_FREQ 7%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53C SOC2@51.687C SOC0@51.468C CV1@-256C GPU@52.031C tj@53.093C SOC1@52.187C CV2@-256C VDD_IN 5377mW/4630mW VDD_CPU_GPU_CV 1121mW/1082mW VDD_SOC 1605mW/1243mW
05-28-2024 14:08:53 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [41%@729,28%@729,27%@729,31%@729,off,off] EMC_FREQ 12%@2133 GR3D_FREQ 98%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.687C SOC0@51.593C CV1@-256C GPU@52.343C tj@53.125C SOC1@52.312C CV2@-256C VDD_IN 6209mW/4742mW VDD_CPU_GPU_CV 1520mW/1113mW VDD_SOC 1762mW/1280mW
05-28-2024 14:08:54 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [38%@729,30%@729,31%@729,21%@729,off,off] EMC_FREQ 14%@2133 GR3D_FREQ 15%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.125C SOC2@51.687C SOC0@51.656C CV1@-256C GPU@52.187C tj@53.125C SOC1@52.25C CV2@-256C VDD_IN 6249mW/4843mW VDD_CPU_GPU_CV 1520mW/1140mW VDD_SOC 1762mW/1312mW
05-28-2024 14:08:55 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [47%@960,32%@729,29%@729,28%@729,off,off] EMC_FREQ 15%@2133 GR3D_FREQ 81%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.75C SOC0@51.687C CV1@-256C GPU@52.25C tj@53.343C SOC1@52.218C CV2@-256C VDD_IN 6290mW/4933mW VDD_CPU_GPU_CV 1560mW/1166mW VDD_SOC 1762mW/1340mW
05-28-2024 14:08:56 RAM 4402/7451MB (lfb 160x4MB) SWAP 0/3725MB (cached 0MB) CPU [40%@854,33%@729,26%@729,36%@729,off,off] EMC_FREQ 16%@2133 GR3D_FREQ 99%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.687C SOC0@51.687C CV1@-256C GPU@52.437C tj@53.25C SOC1@52.25C CV2@-256C VDD_IN 6290mW/5013mW VDD_CPU_GPU_CV 1560mW/1189mW VDD_SOC 1762mW/1365mW
