01-01-1970 01:50:29 RAM 2387/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [31%@1510,29%@1510,81%@1510,19%@1510,45%@1510,30%@1510] EMC_FREQ 12%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.156C SOC2@53.531C SOC0@53.125C CV1@-256C GPU@53.718C tj@55.312C SOC1@53.5C CV2@-256C VDD_IN 5889mW/5889mW VDD_CPU_GPU_CV 1960mW/1960mW VDD_SOC 1402mW/1402mW
01-01-1970 01:50:30 RAM 2443/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [100%@1510,100%@1510,89%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.812C SOC2@53.718C SOC0@53.125C CV1@-256C GPU@53.906C tj@55.812C SOC1@53.5C CV2@-256C VDD_IN 7080mW/6484mW VDD_CPU_GPU_CV 3154mW/2557mW VDD_SOC 1360mW/1381mW
01-01-1970 01:50:31 RAM 2464/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [100%@1510,100%@1510,79%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.75C SOC2@53.687C SOC0@52.968C CV1@-256C GPU@54C tj@55.75C SOC1@53.531C CV2@-256C VDD_IN 7200mW/6723mW VDD_CPU_GPU_CV 3274mW/2796mW VDD_SOC 1360mW/1374mW
01-01-1970 01:50:32 RAM 2487/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [100%@1510,100%@1510,83%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.656C SOC2@53.656C SOC0@53C CV1@-256C GPU@53.75C tj@55.906C SOC1@53.625C CV2@-256C VDD_IN 6720mW/6722mW VDD_CPU_GPU_CV 3154mW/2885mW VDD_SOC 1200mW/1330mW
01-01-1970 01:50:33 RAM 2502/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [100%@1510,100%@1510,94%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.656C SOC2@53.593C SOC0@53.031C CV1@-256C GPU@53.687C tj@55.656C SOC1@53.562C CV2@-256C VDD_IN 6530mW/6683mW VDD_CPU_GPU_CV 3035mW/2915mW VDD_SOC 1161mW/1296mW
01-01-1970 01:50:34 RAM 2522/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [100%@1510,100%@1510,93%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.75C SOC2@53.656C SOC0@53.031C CV1@-256C GPU@53.781C tj@55.75C SOC1@53.562C CV2@-256C VDD_IN 6570mW/6664mW VDD_CPU_GPU_CV 3035mW/2935mW VDD_SOC 1161mW/1274mW
01-01-1970 01:50:35 RAM 2530/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [95%@1510,100%@1510,98%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.531C SOC2@53.531C SOC0@52.968C CV1@-256C GPU@53.843C tj@55.531C SOC1@53.531C CV2@-256C VDD_IN 6450mW/6634mW VDD_CPU_GPU_CV 2995mW/2943mW VDD_SOC 1161mW/1257mW
01-01-1970 01:50:36 RAM 2535/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [94%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 4%@665 GR3D_FREQ 6%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.406C SOC2@53.625C SOC0@53C CV1@-256C GPU@53.531C tj@55.406C SOC1@53.531C CV2@-256C VDD_IN 6410mW/6606mW VDD_CPU_GPU_CV 2955mW/2945mW VDD_SOC 1161mW/1245mW
01-01-1970 01:50:37 RAM 2539/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [96%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.468C SOC2@53.593C SOC0@53.093C CV1@-256C GPU@53.5C tj@55.468C SOC1@53.562C CV2@-256C VDD_IN 6410mW/6584mW VDD_CPU_GPU_CV 2955mW/2946mW VDD_SOC 1161mW/1236mW
01-01-1970 01:50:38 RAM 2554/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [26%@1510,86%@1510,30%@1510,38%@1510,31%@729,30%@729] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.5C SOC2@53.125C SOC0@52.937C CV1@-256C GPU@53.406C tj@54.5C SOC1@53.468C CV2@-256C VDD_IN 4775mW/6403mW VDD_CPU_GPU_CV 1322mW/2783mW VDD_SOC 1163mW/1229mW
01-01-1970 01:50:39 RAM 2553/7451MB (lfb 292x4MB) SWAP 13/3725MB (cached 0MB) CPU [9%@729,4%@729,3%@729,8%@729,0%@729,1%@729] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.156C SOC2@52.843C SOC0@52.812C CV1@-256C GPU@53.562C tj@54.156C SOC1@53.375C CV2@-256C VDD_IN 3898mW/6175mW VDD_CPU_GPU_CV 642mW/2589mW VDD_SOC 1125mW/1219mW
