01-01-1970 01:29:59 RAM 2371/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [24%@1510,36%@1510,19%@1510,47%@1510,5%@729,32%@729] EMC_FREQ 12%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.687C SOC2@52.093C SOC0@51.875C CV1@-256C GPU@52.5C tj@53.687C SOC1@52.468C CV2@-256C VDD_IN 5296mW/5296mW VDD_CPU_GPU_CV 1201mW/1201mW VDD_SOC 1484mW/1484mW
01-01-1970 01:30:00 RAM 2412/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [64%@1510,45%@1510,45%@1510,71%@1510,45%@1510,45%@1510] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.406C SOC2@52.468C SOC0@51.781C CV1@-256C GPU@52.75C tj@54.406C SOC1@52.656C CV2@-256C VDD_IN 6490mW/5893mW VDD_CPU_GPU_CV 2640mW/1920mW VDD_SOC 1402mW/1443mW
01-01-1970 01:30:01 RAM 2444/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [84%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.531C SOC2@52.468C SOC0@51.781C CV1@-256C GPU@53.062C tj@54.531C SOC1@52.625C CV2@-256C VDD_IN 7120mW/6302mW VDD_CPU_GPU_CV 3154mW/2331mW VDD_SOC 1400mW/1428mW
01-01-1970 01:30:02 RAM 2467/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [81%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.625C SOC2@52.5C SOC0@52C CV1@-256C GPU@52.875C tj@54.625C SOC1@52.656C CV2@-256C VDD_IN 6770mW/6419mW VDD_CPU_GPU_CV 3115mW/2527mW VDD_SOC 1201mW/1371mW
01-01-1970 01:30:03 RAM 2492/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [90%@1510,100%@1510,99%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.5C SOC2@52.468C SOC0@51.875C CV1@-256C GPU@52.562C tj@54.5C SOC1@52.562C CV2@-256C VDD_IN 6610mW/6457mW VDD_CPU_GPU_CV 3075mW/2637mW VDD_SOC 1161mW/1329mW
01-01-1970 01:30:04 RAM 2512/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [100%@1510,100%@1510,96%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.812C SOC2@52.5C SOC0@51.843C CV1@-256C GPU@52.656C tj@54.812C SOC1@52.562C CV2@-256C VDD_IN 6610mW/6482mW VDD_CPU_GPU_CV 3120mW/2717mW VDD_SOC 1161mW/1301mW
01-01-1970 01:30:05 RAM 2550/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [99%@1510,100%@1510,98%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 5%@665 GR3D_FREQ 5%@[305,0] VIC_FREQ 0%@115 APE 200 CV0@-256C CPU@54.562C SOC2@52.312C SOC0@51.781C CV1@-256C GPU@52.375C tj@54.437C SOC1@52.531C CV2@-256C VDD_IN 6570mW/6495mW VDD_CPU_GPU_CV 3000mW/2757mW VDD_SOC 1161mW/1281mW
01-01-1970 01:30:06 RAM 2586/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [87%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.562C SOC2@52.312C SOC0@51.812C CV1@-256C GPU@52.468C tj@54.562C SOC1@52.531C CV2@-256C VDD_IN 6610mW/6509mW VDD_CPU_GPU_CV 2960mW/2783mW VDD_SOC 1161mW/1266mW
01-01-1970 01:30:07 RAM 2592/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [98%@1510,90%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.312C SOC2@52.312C SOC0@51.781C CV1@-256C GPU@52.343C tj@54.312C SOC1@52.562C CV2@-256C VDD_IN 6410mW/6498mW VDD_CPU_GPU_CV 2840mW/2789mW VDD_SOC 1161mW/1254mW
01-01-1970 01:30:08 RAM 2599/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [98%@1510,94%@1510,99%@1510,98%@1510,98%@1510,98%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.375C SOC2@52.312C SOC0@51.656C CV1@-256C GPU@52.781C tj@54.375C SOC1@52.625C CV2@-256C VDD_IN 6330mW/6481mW VDD_CPU_GPU_CV 2760mW/2786mW VDD_SOC 1161mW/1245mW
01-01-1970 01:30:09 RAM 2635/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [1%@1510,12%@1510,99%@1510,0%@1510,82%@1510,0%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.437C SOC2@51.937C SOC0@51.875C CV1@-256C GPU@52.218C tj@53.593C SOC1@52.406C CV2@-256C VDD_IN 4742mW/6323mW VDD_CPU_GPU_CV 1284mW/2649mW VDD_SOC 1165mW/1238mW
01-01-1970 01:30:10 RAM 2665/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [4%@1510,0%@1510,100%@1510,1%@1510,81%@1510,6%@1510] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.781C SOC0@51.656C CV1@-256C GPU@52.187C tj@53.5C SOC1@52.406C CV2@-256C VDD_IN 4815mW/6197mW VDD_CPU_GPU_CV 1243mW/2532mW VDD_SOC 1165mW/1231mW
01-01-1970 01:30:11 RAM 2674/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [12%@1510,4%@1510,84%@1510,19%@1510,12%@729,7%@729] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.687C SOC0@51.437C CV1@-256C GPU@52.25C tj@53.343C SOC1@52.218C CV2@-256C VDD_IN 4501mW/6067mW VDD_CPU_GPU_CV 1123mW/2424mW VDD_SOC 1165mW/1226mW
01-01-1970 01:30:12 RAM 2600/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [30%@1510,6%@1510,49%@1510,12%@1510,18%@729,17%@729] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.687C SOC0@51.468C CV1@-256C GPU@52.187C tj@53.25C SOC1@52.156C CV2@-256C VDD_IN 4622mW/5964mW VDD_CPU_GPU_CV 1203mW/2337mW VDD_SOC 1165mW/1222mW
01-01-1970 01:30:13 RAM 2676/7451MB (lfb 335x4MB) SWAP 2/3725MB (cached 0MB) CPU [65%@1510,26%@1510,1%@1510,10%@1510,6%@729,2%@729] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.343C SOC2@51.593C SOC0@51.343C CV1@-256C GPU@52.031C tj@53.343C SOC1@52.031C CV2@-256C VDD_IN 4421mW/5861mW VDD_CPU_GPU_CV 1003mW/2248mW VDD_SOC 1165mW/1218mW
