05-31-2024 15:34:30 RAM 2473/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [88%@960,64%@960,59%@960,100%@960,off,off] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.625C SOC2@52.031C SOC0@51.812C CV1@-256C GPU@52.156C tj@53.625C SOC1@52.593C CV2@-256C VDD_IN 5216mW/5216mW VDD_CPU_GPU_CV 1282mW/1282mW VDD_SOC 1444mW/1444mW
05-31-2024 15:34:31 RAM 2529/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.562C SOC2@52.062C SOC0@51.906C CV1@-256C GPU@52.187C tj@53.562C SOC1@52.531C CV2@-256C VDD_IN 5216mW/5216mW VDD_CPU_GPU_CV 1402mW/1342mW VDD_SOC 1404mW/1424mW
05-31-2024 15:34:32 RAM 2562/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.531C SOC2@52.125C SOC0@51.687C CV1@-256C GPU@52.625C tj@53.531C SOC1@52.375C CV2@-256C VDD_IN 5216mW/5216mW VDD_CPU_GPU_CV 1442mW/1375mW VDD_SOC 1404mW/1417mW
05-31-2024 15:34:33 RAM 2588/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [98%@960,100%@960,100%@960,99%@960,off,off] EMC_FREQ 7%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 0%@115 APE 200 CV0@-256C CPU@53.593C SOC2@52C SOC0@51.687C CV1@-256C GPU@52.5C tj@53.593C SOC1@52.343C CV2@-256C VDD_IN 4694mW/5085mW VDD_CPU_GPU_CV 1282mW/1352mW VDD_SOC 1163mW/1353mW
05-31-2024 15:34:34 RAM 2609/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.5C SOC2@51.937C SOC0@51.656C CV1@-256C GPU@52.093C tj@53.437C SOC1@52.375C CV2@-256C VDD_IN 4694mW/5007mW VDD_CPU_GPU_CV 1364mW/1354mW VDD_SOC 1163mW/1315mW
05-31-2024 15:34:36 RAM 2632/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [100%@960,100%@960,99%@960,97%@960,off,off] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.906C SOC0@51.75C CV1@-256C GPU@52.312C tj@53.406C SOC1@52.406C CV2@-256C VDD_IN 4614mW/4941mW VDD_CPU_GPU_CV 1284mW/1342mW VDD_SOC 1163mW/1290mW
05-31-2024 15:34:37 RAM 2626/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,15%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.812C SOC0@51.625C CV1@-256C GPU@52.187C tj@53.406C SOC1@52.468C CV2@-256C VDD_IN 4414mW/4866mW VDD_CPU_GPU_CV 1163mW/1317mW VDD_SOC 1123mW/1266mW
05-31-2024 15:34:38 RAM 2671/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [100%@960,100%@960,100%@960,31%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.406C SOC2@51.75C SOC0@51.656C CV1@-256C GPU@52.093C tj@53.406C SOC1@52.406C CV2@-256C VDD_IN 4494mW/4819mW VDD_CPU_GPU_CV 1203mW/1302mW VDD_SOC 1123mW/1248mW
05-31-2024 15:34:39 RAM 2726/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [47%@960,92%@960,92%@960,96%@960,off,off] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.187C SOC2@51.625C SOC0@51.625C CV1@-256C GPU@51.843C tj@53.187C SOC1@52.312C CV2@-256C VDD_IN 4501mW/4784mW VDD_CPU_GPU_CV 1123mW/1282mW VDD_SOC 1165mW/1239mW
05-31-2024 15:34:40 RAM 2769/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [20%@960,14%@960,15%@960,51%@960,off,off] EMC_FREQ 3%@2133 GR3D_FREQ 17%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.062C SOC2@51.593C SOC0@51.5C CV1@-256C GPU@51.875C tj@53.062C SOC1@52.187C CV2@-256C VDD_IN 4461mW/4752mW VDD_CPU_GPU_CV 802mW/1234mW VDD_SOC 1326mW/1247mW
05-31-2024 15:34:41 RAM 3110/7451MB (lfb 238x4MB) SWAP 68/3725MB (cached 0MB) CPU [25%@960,25%@960,15%@960,79%@960,off,off] EMC_FREQ 4%@2133 GR3D_FREQ 19%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.5C SOC0@51.343C CV1@-256C GPU@51.75C tj@53.25C SOC1@52.156C CV2@-256C VDD_IN 4775mW/4754mW VDD_CPU_GPU_CV 802mW/1195mW VDD_SOC 1484mW/1269mW
