05-31-2024 15:14:00 RAM 2434/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [19%@960,33%@960,64%@960,53%@960,off,off] EMC_FREQ 8%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.531C SOC2@52.375C SOC0@52.218C CV1@-256C GPU@52.5C tj@53.531C SOC1@52.937C CV2@-256C VDD_IN 4614mW/4614mW VDD_CPU_GPU_CV 642mW/642mW VDD_SOC 1444mW/1444mW
05-31-2024 15:14:01 RAM 2481/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [1%@960,0%@960,50%@960,24%@960,off,off] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.781C SOC2@52.156C SOC0@52.125C CV1@-256C GPU@52.437C tj@53.781C SOC1@52.875C CV2@-256C VDD_IN 4333mW/4473mW VDD_CPU_GPU_CV 521mW/581mW VDD_SOC 1404mW/1424mW
05-31-2024 15:14:02 RAM 2533/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [99%@960,94%@960,99%@960,100%@960,off,off] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.875C SOC2@52.375C SOC0@52.125C CV1@-256C GPU@52.656C tj@53.875C SOC1@52.687C CV2@-256C VDD_IN 5056mW/4667mW VDD_CPU_GPU_CV 1241mW/801mW VDD_SOC 1404mW/1417mW
05-31-2024 15:14:03 RAM 2548/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [90%@960,96%@960,100%@960,100%@960,off,off] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.812C SOC2@52.312C SOC0@52.093C CV1@-256C GPU@52.312C tj@53.812C SOC1@52.75C CV2@-256C VDD_IN 4694mW/4674mW VDD_CPU_GPU_CV 1201mW/901mW VDD_SOC 1163mW/1353mW
05-31-2024 15:14:04 RAM 2560/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [83%@960,98%@960,100%@960,100%@960,off,off] EMC_FREQ 5%@665 GR3D_FREQ 23%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.75C SOC2@52.156C SOC0@52.031C CV1@-256C GPU@52.5C tj@53.75C SOC1@52.718C CV2@-256C VDD_IN 4654mW/4670mW VDD_CPU_GPU_CV 1241mW/969mW VDD_SOC 1163mW/1315mW
05-31-2024 15:14:05 RAM 2577/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [82%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.843C SOC2@52.218C SOC0@52.093C CV1@-256C GPU@52.687C tj@53.843C SOC1@52.625C CV2@-256C VDD_IN 4735mW/4681mW VDD_CPU_GPU_CV 1241mW/1014mW VDD_SOC 1163mW/1290mW
05-31-2024 15:14:06 RAM 2585/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [91%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.625C SOC2@52.156C SOC0@52C CV1@-256C GPU@52.5C tj@53.843C SOC1@52.625C CV2@-256C VDD_IN 4574mW/4665mW VDD_CPU_GPU_CV 1163mW/1035mW VDD_SOC 1123mW/1266mW
05-31-2024 15:14:07 RAM 2596/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [95%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.843C SOC2@52.156C SOC0@52.031C CV1@-256C GPU@52.593C tj@53.843C SOC1@52.625C CV2@-256C VDD_IN 4574mW/4654mW VDD_CPU_GPU_CV 1203mW/1056mW VDD_SOC 1123mW/1248mW
05-31-2024 15:14:08 RAM 2603/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [91%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.781C SOC2@52.187C SOC0@51.906C CV1@-256C GPU@52.468C tj@53.781C SOC1@52.625C CV2@-256C VDD_IN 4614mW/4649mW VDD_CPU_GPU_CV 1201mW/1072mW VDD_SOC 1123mW/1234mW
05-31-2024 15:14:09 RAM 2611/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [64%@960,100%@960,100%@960,100%@960,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.875C SOC2@52.093C SOC0@51.875C CV1@-256C GPU@52.531C tj@53.875C SOC1@52.593C CV2@-256C VDD_IN 4614mW/4646mW VDD_CPU_GPU_CV 1163mW/1081mW VDD_SOC 1123mW/1223mW
05-31-2024 15:14:10 RAM 2622/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [40%@960,31%@960,31%@960,86%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.375C SOC2@51.906C SOC0@51.812C CV1@-256C GPU@52.187C tj@53.375C SOC1@52.75C CV2@-256C VDD_IN 4012mW/4588mW VDD_CPU_GPU_CV 561mW/1034mW VDD_SOC 1163mW/1217mW
05-31-2024 15:14:11 RAM 2634/7451MB (lfb 335x4MB) SWAP 22/3725MB (cached 0MB) CPU [0%@960,0%@960,0%@960,82%@960,off,off] EMC_FREQ 4%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@53.25C SOC2@51.718C SOC0@51.937C CV1@-256C GPU@52.218C tj@53.25C SOC1@52.625C CV2@-256C VDD_IN 3852mW/4527mW VDD_CPU_GPU_CV 481mW/988mW VDD_SOC 1123mW/1209mW
