05-28-2024 13:23:40 RAM 2187/7451MB (lfb 26x4MB) SWAP 711/3726MB (cached 7MB) CPU [13%@806,11%@806,16%@806,7%@1306,4%@806,3%@806] EMC_FREQ 5%@665 GR3D_FREQ 36%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@54.812C SOC2@53.593C SOC0@53.406C CV1@-256C GPU@53.656C tj@54.812C SOC1@53.781C CV2@-256C VDD_IN 4213mW/4213mW VDD_CPU_GPU_CV 842mW/842mW VDD_SOC 1163mW/1163mW
05-28-2024 13:23:41 RAM 2288/7451MB (lfb 26x4MB) SWAP 711/3726MB (cached 7MB) CPU [70%@1510,68%@1510,69%@1510,46%@1510,68%@1510,73%@1510] EMC_FREQ 5%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.562C SOC2@53.968C SOC0@53.375C CV1@-256C GPU@53.875C tj@55.562C SOC1@54.062C CV2@-256C VDD_IN 5929mW/5071mW VDD_CPU_GPU_CV 2560mW/1701mW VDD_SOC 1161mW/1162mW
05-28-2024 13:23:42 RAM 2274/7451MB (lfb 26x4MB) SWAP 711/3726MB (cached 7MB) CPU [100%@1510,100%@1510,100%@1510,8%@1510,100%@1510,100%@1510] EMC_FREQ 4%@665 GR3D_FREQ 8%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.812C SOC2@54.031C SOC0@53.562C CV1@-256C GPU@54.156C tj@55.812C SOC1@54.062C CV2@-256C VDD_IN 6209mW/5450mW VDD_CPU_GPU_CV 2875mW/2092mW VDD_SOC 1121mW/1148mW
05-28-2024 13:23:43 RAM 2322/7451MB (lfb 26x4MB) SWAP 711/3726MB (cached 7MB) CPU [100%@1510,100%@1510,100%@1510,34%@1510,100%@1510,100%@1510] EMC_FREQ 6%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.062C SOC2@54.031C SOC0@53.562C CV1@-256C GPU@54.062C tj@55.75C SOC1@53.937C CV2@-256C VDD_IN 6410mW/5690mW VDD_CPU_GPU_CV 2955mW/2308mW VDD_SOC 1161mW/1151mW
05-28-2024 13:23:44 RAM 2394/7451MB (lfb 26x4MB) SWAP 711/3726MB (cached 7MB) CPU [97%@1510,100%@1510,84%@1510,81%@1510,100%@1510,100%@1510] EMC_FREQ 9%@665 GR3D_FREQ 0%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.937C SOC2@54.125C SOC0@53.593C CV1@-256C GPU@54.062C tj@55.937C SOC1@54.062C CV2@-256C VDD_IN 6640mW/5880mW VDD_CPU_GPU_CV 3035mW/2453mW VDD_SOC 1200mW/1161mW
05-28-2024 13:23:45 RAM 2556/7451MB (lfb 26x4MB) SWAP 711/3726MB (cached 7MB) CPU [70%@1510,100%@1510,96%@1510,100%@1510,93%@1510,100%@1510] EMC_FREQ 12%@665 GR3D_FREQ 22%@[305,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.218C SOC2@54C SOC0@53.531C CV1@-256C GPU@54.125C tj@56.218C SOC1@54.031C CV2@-256C VDD_IN 6760mW/6026mW VDD_CPU_GPU_CV 3035mW/2550mW VDD_SOC 1240mW/1174mW
05-28-2024 13:23:47 RAM 3003/7451MB (lfb 26x4MB) SWAP 711/3726MB (cached 7MB) CPU [100%@1510,100%@1510,98%@1510,93%@1510,94%@1510,96%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 19%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.25C SOC2@54.187C SOC0@53.5C CV1@-256C GPU@54.312C tj@56.25C SOC1@54.031C CV2@-256C VDD_IN 7200mW/6194mW VDD_CPU_GPU_CV 3194mW/2642mW VDD_SOC 1400mW/1206mW
05-28-2024 13:23:48 RAM 3596/7451MB (lfb 6x4MB) SWAP 711/3726MB (cached 7MB) CPU [100%@1510,100%@1510,99%@1510,100%@1510,100%@1510,87%@1510] EMC_FREQ 5%@2133 GR3D_FREQ 16%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.125C SOC2@54.187C SOC0@53.562C CV1@-256C GPU@54.593C tj@56.125C SOC1@54.062C CV2@-256C VDD_IN 7440mW/6350mW VDD_CPU_GPU_CV 3269mW/2720mW VDD_SOC 1480mW/1240mW
05-28-2024 13:23:49 RAM 3954/7451MB (lfb 6x4MB) SWAP 711/3726MB (cached 7MB) CPU [100%@1510,100%@1510,100%@1510,99%@1510,100%@1510,69%@1510] EMC_FREQ 6%@2133 GR3D_FREQ 55%@[509,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@56.156C SOC2@54.312C SOC0@53.5C CV1@-256C GPU@54.656C tj@56.156C SOC1@54.093C CV2@-256C VDD_IN 7560mW/6484mW VDD_CPU_GPU_CV 3389mW/2794mW VDD_SOC 1477mW/1267mW
05-28-2024 13:23:50 RAM 4325/7451MB (lfb 49x1MB) SWAP 711/3726MB (cached 7MB) CPU [82%@729,80%@729,79%@806,80%@806,81%@1510,71%@1510] EMC_FREQ 6%@2133 GR3D_FREQ 73%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.843C SOC2@54.093C SOC0@53.718C CV1@-256C GPU@54.812C tj@55.593C SOC1@54.187C CV2@-256C VDD_IN 7080mW/6544mW VDD_CPU_GPU_CV 2835mW/2798mW VDD_SOC 1520mW/1292mW
05-28-2024 13:23:51 RAM 4301/7451MB (lfb 1x2MB) SWAP 711/3726MB (cached 7MB) CPU [39%@1510,21%@1510,19%@1000,18%@729,23%@883,16%@806] EMC_FREQ 18%@2133 GR3D_FREQ 55%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@55.25C SOC2@54.125C SOC0@53.687C CV1@-256C GPU@55.25C tj@55.25C SOC1@54.125C CV2@-256C VDD_IN 7987mW/6675mW VDD_CPU_GPU_CV 2830mW/2801mW VDD_SOC 1876mW/1345mW
