05-31-2024 13:08:43 RAM 2260/7451MB (lfb 17x4MB) SWAP 608/3725MB (cached 4MB) CPU [63%@1510,69%@1510,72%@1510,63%@1510,62%@1510,95%@1510] EMC_FREQ 14%@2133 GR3D_FREQ 7%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@58.125C SOC2@56.406C SOC0@56.031C CV1@-256C GPU@56.843C tj@58.125C SOC1@56.187C CV2@-256C VDD_IN 7200mW/7200mW VDD_CPU_GPU_CV 2950mW/2950mW VDD_SOC 1520mW/1520mW
05-31-2024 13:08:44 RAM 2252/7451MB (lfb 17x4MB) SWAP 608/3725MB (cached 4MB) CPU [14%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@58.093C SOC2@56.531C SOC0@55.968C CV1@-256C GPU@56.875C tj@58.093C SOC1@56.156C CV2@-256C VDD_IN 6880mW/7040mW VDD_CPU_GPU_CV 3115mW/3032mW VDD_SOC 1360mW/1440mW
05-31-2024 13:08:45 RAM 2298/7451MB (lfb 17x4MB) SWAP 608/3725MB (cached 4MB) CPU [23%@1510,100%@1510,100%@1510,100%@1510,100%@1510,100%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@58.312C SOC2@56.468C SOC0@55.875C CV1@-256C GPU@56.812C tj@58.312C SOC1@56.156C CV2@-256C VDD_IN 6960mW/7013mW VDD_CPU_GPU_CV 3194mW/3086mW VDD_SOC 1360mW/1413mW
05-31-2024 13:08:46 RAM 2394/7451MB (lfb 17x4MB) SWAP 608/3725MB (cached 4MB) CPU [62%@1510,100%@1510,100%@1510,95%@1510,100%@1510,100%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@58.218C SOC2@56.531C SOC0@55.875C CV1@-256C GPU@56.718C tj@58.218C SOC1@56.156C CV2@-256C VDD_IN 7120mW/7040mW VDD_CPU_GPU_CV 3269mW/3132mW VDD_SOC 1400mW/1410mW
05-31-2024 13:08:47 RAM 2568/7451MB (lfb 7x4MB) SWAP 608/3725MB (cached 4MB) CPU [74%@1510,100%@1510,100%@1510,100%@1510,87%@1510,98%@1510] EMC_FREQ 3%@2133 GR3D_FREQ 21%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@58.281C SOC2@56.562C SOC0@55.906C CV1@-256C GPU@56.937C tj@58.281C SOC1@56.343C CV2@-256C VDD_IN 7280mW/7088mW VDD_CPU_GPU_CV 3229mW/3151mW VDD_SOC 1440mW/1416mW
05-31-2024 13:08:48 RAM 3102/7451MB (lfb 79x1MB) SWAP 608/3725MB (cached 4MB) CPU [92%@1510,100%@1510,100%@1510,100%@1510,91%@1510,98%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 9%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@58.281C SOC2@56.531C SOC0@55.812C CV1@-256C GPU@57.031C tj@58.281C SOC1@56.187C CV2@-256C VDD_IN 7360mW/7133mW VDD_CPU_GPU_CV 3269mW/3171mW VDD_SOC 1440mW/1420mW
05-31-2024 13:08:49 RAM 3586/7451MB (lfb 79x1MB) SWAP 608/3725MB (cached 4MB) CPU [100%@1510,100%@1510,100%@1510,100%@1510,83%@1510,100%@1510] EMC_FREQ 4%@2133 GR3D_FREQ 12%@[407,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@58.468C SOC2@56.593C SOC0@55.906C CV1@-256C GPU@56.968C tj@58.468C SOC1@56.093C CV2@-256C VDD_IN 7360mW/7165mW VDD_CPU_GPU_CV 3309mW/3190mW VDD_SOC 1440mW/1422mW
05-31-2024 13:08:50 RAM 3956/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [83%@1510,100%@1510,100%@1510,100%@1510,78%@1510,100%@1510] EMC_FREQ 5%@2133 GR3D_FREQ 31%@[611,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@58.375C SOC2@56.531C SOC0@55.812C CV1@-256C GPU@56.781C tj@58.375C SOC1@56.125C CV2@-256C VDD_IN 7468mW/7203mW VDD_CPU_GPU_CV 3428mW/3220mW VDD_SOC 1437mW/1424mW
05-31-2024 13:08:51 RAM 4203/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [64%@1511,75%@729,75%@729,75%@729,72%@1036,76%@1036] EMC_FREQ 10%@2133 GR3D_FREQ 69%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.562C SOC2@56.312C SOC0@55.781C CV1@-256C GPU@57.406C tj@57.656C SOC1@56.031C CV2@-256C VDD_IN 7827mW/7272mW VDD_CPU_GPU_CV 3149mW/3212mW VDD_SOC 1717mW/1457mW
05-31-2024 13:08:52 RAM 4203/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [30%@1510,21%@1510,26%@960,23%@960,15%@729,9%@729] EMC_FREQ 19%@2133 GR3D_FREQ 83%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.312C SOC2@56.375C SOC0@55.843C CV1@-256C GPU@57.125C tj@57.312C SOC1@56C CV2@-256C VDD_IN 7747mW/7320mW VDD_CPU_GPU_CV 2671mW/3158mW VDD_SOC 1876mW/1499mW
05-31-2024 13:08:53 RAM 4203/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [28%@1124,23%@960,31%@960,24%@960,23%@729,12%@729] EMC_FREQ 23%@2133 GR3D_FREQ 53%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.312C SOC2@56.25C SOC0@55.781C CV1@-256C GPU@57.093C tj@57.531C SOC1@56.187C CV2@-256C VDD_IN 7667mW/7351mW VDD_CPU_GPU_CV 2551mW/3103mW VDD_SOC 1876mW/1533mW
05-31-2024 13:08:54 RAM 4203/7451MB (lfb 62x1MB) SWAP 608/3725MB (cached 4MB) CPU [27%@883,15%@883,22%@883,29%@1014,14%@729,14%@729] EMC_FREQ 24%@2133 GR3D_FREQ 55%@[624,0] VIC_FREQ 115 APE 200 CV0@-256C CPU@57.281C SOC2@56.156C SOC0@55.812C CV1@-256C GPU@57.031C tj@57.281C SOC1@56.156C CV2@-256C VDD_IN 7747mW/7384mW VDD_CPU_GPU_CV 2591mW/3060mW VDD_SOC 1916mW/1565mW
